Model,Domain,Task,Organization,Authors,Publication date,Reference,Link,Citations,Notability criteria,Notability criteria notes,Parameters,Parameters notes,Training compute (FLOP),Training compute notes,Training dataset size (total),Dataset size notes,Training time (hours),Training time notes,Training hardware,Approach,Confidence,Abstract,Epochs,WikiText and Penn Treebank data,Model accessibility,Country (of organization),Base model,Finetune compute (FLOP),Finetune compute notes,Hardware quantity,Hardware utilization (MFU),Last modified,Training cloud compute vendor,Training data center,Archived links,Batch size,Batch size notes,Organization categorization,Foundation model,Training compute lower bound,Training compute upper bound,Training chip-hours,Training code accessibility,Accessibility notes,Possibly over 1e23 FLOP,Training compute cost (2023 USD),Utilization notes,Numerical format,Frontier model,Training power draw (W),Training compute estimation method,Hugging Face developer id,Post-training compute (FLOP),Post-training compute notes,Hardware utilization (HFU),Open model weights?,short,license_open,hub_license,weights_open
Apollo 7B,"Video,Language,Multimodal",Video description,"Meta AI,Stanford University","Orr Zohar, Xiaohan Wang, Yann Dubois, Nikhil Mehta, Tong Xiao, Philippe Hansen-Estruch, Licheng Yu, Xiaofang Wang, Felix Juefei-Xu, Ning Zhang, Serena Yeung-Levy, Xide Xia",2024-12-13,Apollo: An Exploration of Video Understanding in Large Multimodal Models,https://arxiv.org/abs/2412.10360,,SOTA improvement,"Apollo-7B is state-of-the-art compared to 7B LMMs with a 70.9 on MLVU, and 63.3 on Video-MME",7000000000.0,"""We employed the Qwen2.5 (Yang et al., 2024) series of Large Language Models (LLMs) at varying scales to serve as the backbone for Apollo. Specifically, we utilized models with 1.5B, 3B, and 7B parameters. Following our analysis in Sec. 4, we used a SigLIP-SO400M (Zhai et al., 2023) encoder combined with an InternVideo2 (Wang et al., 2024d) video encoder""

there is a confusion with Qwen2.5 link - it points to Qwen 2 paper instead of Qwen 2.5 release notes",,,,"1. Alignment: In this phase, we trained on a 198K mixture of 50/50 image and video captions.
2. Vision Pretraining: We tuned the encoders using a video-only caption dataset of 396K samples.
3. Supervised Fine-tuning (SFT): We trained on a mixture of text, image, multi-image, and video data, with a total of 3.2 million samples.

3200000 videos *36%*~40 sec*~128 tokens / sec = 5898240000 video tokens during SFT

assuming about the same amount of image and text tokens. total size of the dataset was likely around 12B tokens
",,,NVIDIA A100,,Confident,"Despite the rapid integration of video perception capabilities into Large Multimodal Models (LMMs), the underlying mechanisms driving their video understanding remain poorly understood. Consequently, many design decisions in this domain are made without proper justification or analysis. The high computational cost of training and evaluating such models, coupled with limited open research, hinders the development of video-LMMs. To address this, we present a comprehensive study that helps uncover what effectively drives video understanding in LMMs.
We begin by critically examining the primary contributors to the high computational requirements associated with video-LMM research and discover Scaling Consistency, wherein design and training decisions made on smaller models and datasets (up to a critical size) effectively transfer to larger models. Leveraging these insights, we explored many video-specific aspects of video-LMMs, including video sampling, architectures, data composition, training schedules, and more. For example, we demonstrated that fps sampling during training is vastly preferable to uniform frame sampling and which vision encoders are the best for video representation.
Guided by these findings, we introduce Apollo, a state-of-the-art family of LMMs that achieve superior performance across different model sizes. Our models can perceive hour-long videos efficiently, with Apollo-3B outperforming most existing 7B models with an impressive 55.1 on LongVideoBench. Apollo-7B is state-of-the-art compared to 7B LMMs with a 70.9 on MLVU, and 63.3 on Video-MME.",,,Unreleased,"United States of America,United States of America","Qwen2.5-7B,SigLIP 400M",,,128.0,,2025-11-28 11:53:44+00:00,,,,,,"Industry,Academia",,,,,Unreleased,,,,,,,100672.34303072088,,,,,,No,apollo7b,1,mit,0
Aya Expanse 32B,Language,"Language modeling/generation,Translation",Cohere for AI,,2024-10-24,"Cohere For AI launches Aya Expanse, a state-of-the-art multilingual family of models to help close the language gap with AI.","https://cohere.com/blog/aya-expanse-connecting-our-world

https://huggingface.co/CohereForAI/aya-expanse-32b?ref=cohere-ai.ghost.io",,,,32300000000.0,,6.688684e+21,"'Likely' confidence for dataset size and epochs

34513333333*32300000000*6 = 6.688684e+21",34513333333,155GB * 167M words per GB (assuming on average across languages) * 4/3 tokens per word on average = 34513333333 tokens,,,,,Likely,"Today, Cohere For AI, Cohere’s research arm, is proud to announce Aya Expanse, a family of highly performant multilingual models that excels across 23 languages and outperforms other leading open-weights models. 

We are releasing Aya Expanse as both 8 and 32 billion open-weights models available on Kaggle and Hugging Face, as part of our continued commitment to multilingual research and to accelerate the frontier for multilingual AI. The 8 billion parameters model makes breakthroughs more accessible to researchers worldwide, and our 32 billion parameters model offers state-of-the-art multilingual capabilities. 

Aya Expanse marks an important step to expand high-quality coverage of languages in LLMs. Since we first launched the Aya initiative two years ago, we have collaborated with over 3,000 researchers from 119 countries to expand cutting-edge multilingual research. This included releasing the Aya collection, the largest multilingual dataset collection to-date, with 513 million examples, and critical evaluation sets for multilingual performance and safety. It has also included the release of Aya-101, the most comprehensive multilingual model to-date covering 101 languages.",,,Open weights (restricted use),Canada,,,,,,2025-11-28 11:53:44+00:00,,,,,,Industry,,,,,Unreleased,"CC-BY-NC, requires also adhering to C4AI's Acceptable Use Policy",,,,,,,Operation counting,,,,,Yes,ayaexpanse32b,0,cc-by-nc-4.0,1
Aya Expanse 8B,Language,"Language modeling/generation,Translation",Cohere for AI,,2024-10-24,"Cohere For AI launches Aya Expanse, a state-of-the-art multilingual family of models to help close the language gap with AI.","https://cohere.com/blog/aya-expanse-connecting-our-world

https://huggingface.co/CohereForAI/aya-expanse-8b?ref=cohere-ai.ghost.io",,,,8000000000.0,,1.65664e+21,"'Likely' confidence for dataset size and epochs

34513333333*8000000000*6 = 1.65664e+21",34513333333,155GB * 167M words per GB (assuming on average across languages) * 4/3 tokens per word on average = 34513333333 tokens,,,,,Likely,"Today, Cohere For AI, Cohere’s research arm, is proud to announce Aya Expanse, a family of highly performant multilingual models that excels across 23 languages and outperforms other leading open-weights models. 

We are releasing Aya Expanse as both 8 and 32 billion open-weights models available on Kaggle and Hugging Face, as part of our continued commitment to multilingual research and to accelerate the frontier for multilingual AI. The 8 billion parameters model makes breakthroughs more accessible to researchers worldwide, and our 32 billion parameters model offers state-of-the-art multilingual capabilities. 

Aya Expanse marks an important step to expand high-quality coverage of languages in LLMs. Since we first launched the Aya initiative two years ago, we have collaborated with over 3,000 researchers from 119 countries to expand cutting-edge multilingual research. This included releasing the Aya collection, the largest multilingual dataset collection to-date, with 513 million examples, and critical evaluation sets for multilingual performance and safety. It has also included the release of Aya-101, the most comprehensive multilingual model to-date covering 101 languages.",,,Open weights (restricted use),Canada,,,,,,2025-11-28 11:53:44+00:00,,,,,,Industry,,,,,Unreleased,"CC-BY-NC, requires also adhering to C4AI's Acceptable Use Policy",,,,,,,Operation counting,,,,,Yes,ayaexpanse8b,0,cc-by-nc-4.0,1
Qwen2.5-72B,Language,"Language modeling/generation,Question answering,Quantitative reasoning",Alibaba,Qwen Team,2024-09-19,Qwen2.5: A Party of Foundation Models!,https://qwenlm.github.io/blog/qwen2.5/,,Training cost,"High compute, near 1e25",72700000000.0,72.7B,7.8e+24,"Training dataset size was 18 trillion

6ND = 6 * 72.7 billion parameters * 18 trillion tokens = 7.8e24",18000000000000,"""In terms of Qwen2.5, the language models, all models are pretrained on our latest large-scale dataset, encompassing up to 18 trillion tokens""",,,,,Confident,"In the past three months since Qwen2’s release, numerous developers have built new models on the Qwen2 language models, providing us with valuable feedback. During this period, we have focused on creating smarter and more knowledgeable language models. Today, we are excited to introduce the latest addition to the Qwen family: Qwen2.5. We are announcing what might be the largest opensource release in history! Let’s get the party started!",1.0,,Open weights (unrestricted),China,,,,,,2025-12-18 05:45:12+00:00,,"There is no paper to reference, no information about hardware used for training found in media.",,,not listed,Industry,,,7.8e+24,,Unreleased,"license: allows commercial. weights only
https://huggingface.co/Qwen/Qwen2.5-72B/blob/main/LICENSE ",True,,,BF16,,,Operation counting,Qwen,,,,Yes,qwen2572b,0,other,1
Qwen2.5-3B,Language,"Language modeling/generation,Question answering,Quantitative reasoning",Alibaba,Qwen Team,2024-09-19,Qwen2.5: A Party of Foundation Models!,https://qwenlm.github.io/blog/qwen2.5-llm/,,,,3090000000.0,3.09B,3.3372e+23,"Training dataset size was 18 trillion

6 FLOP/parameter/token * 3090000000 parameters * 18000000000000 tokens = 3.3372e+23 FLOP",,"""In terms of Qwen2.5, the language models, all models are pretrained on our latest large-scale dataset, encompassing up to 18 trillion tokens""",,,,,Confident,"In the past three months since Qwen2’s release, numerous developers have built new models on the Qwen2 language models, providing us with valuable feedback. During this period, we have focused on creating smarter and more knowledgeable language models. Today, we are excited to introduce the latest addition to the Qwen family: Qwen2.5. We are announcing what might be the largest opensource release in history! Let’s get the party started!",1.0,,Open weights (non-commercial),China,,,,,,2025-11-28 11:53:44+00:00,,,,,,Industry,,,,,Unreleased,Qwen Research license,True,,,,,,Operation counting,Qwen,,,,Yes,qwen253b,0,other,1
DCLM 7B,Language,"Language modeling/generation,Question answering,Quantitative reasoning",Apple,,2024-07-20,Model Card for DCLM-Baseline-7B,https://huggingface.co/apple/DCLM-7B,,,,7000000000.0,7B,1.05e+23,6 FLOP / parameter / token * 7 * 10^9 parameters * 2.5 * 10^12 tokens = 1.05e+23 FLOP,2500000000000,Total Training Tokens: 2.5T,,,NVIDIA H100 SXM5 80GB,,Confident,"DCLM-Baseline-7B is a 7 billion parameter language model trained on the DCLM-Baseline dataset, which was curated as part of the DataComp for Language Models (DCLM) benchmark. This model is designed to showcase the effectiveness of systematic data curation techniques for improving language model performance.",,,Open weights (restricted use),United States of America,,,,,,2025-11-28 11:53:44+00:00,,,,,,Industry,,,,,Unreleased,"Apple Sample Code license (no patent rights, copyright-only)
https://huggingface.co/apple/DCLM-7B",True,,,,,,Operation counting,apple,,,,Yes,dclm7b,0,apple-ascl,1
Qwen2-72B,Language,"Chat,Language modeling/generation,Question answering",Alibaba,"An Yang, Baosong Yang, Binyuan Hui, Bo Zheng, Bowen Yu, Chang Zhou, Chengpeng Li, Chengyuan Li, Dayiheng Liu, Fei Huang, Guanting Dong, Haoran Wei, Huan Lin, Jialong Tang, Jialin Wang, Jian Yang, Jianhong Tu, Jianwei Zhang, Jianxin Ma, Jianxin Yang, Jin Xu, Jingren Zhou, Jinze Bai, Jinzheng He, Junyang Lin, Kai Dang, Keming Lu, Keqin Chen, Kexin Yang, Mei Li, Mingfeng Xue, Na Ni, Pei Zhang, Peng Wang, Ru Peng, Rui Men, Ruize Gao, Runji Lin, Shijie Wang, Shuai Bai, Sinan Tan, Tianhang Zhu, Tianhao Li, Tianyu Liu, Wenbin Ge, Xiaodong Deng, Xiaohuan Zhou, Xingzhang Ren, Xinyu Zhang, Xipin Wei, Xuancheng Ren, Xuejing Liu, Yang Fan, Yang Yao, Yichang Zhang, Yu Wan, Yunfei Chu, Yuqiong Liu, Zeyu Cui, Zhenru Zhang, Zhifang Guo, Zhihao Fan",2024-06-07,Hello Qwen2,"https://qwenlm.github.io/blog/qwen2/ 
https://arxiv.org/abs/2407.10671 ",,Training cost,"SOTA claims are against open source models within a parameter class.

Possibly high training cost, at 3e24 FLOP seems borderline.",72710000000.0,"72.71B parameters in total, of which 70.21B are non-embedding parameters",3.02e+24,"72 billion params, 7 trillion tokens

6 * 72 billion * 7 trillion ~= 3.02e24",7000000000000,"""All models were pre-trained on a high-quality, large-scale dataset comprising over 7 trillion tokens, covering a wide range of domains and languages.""",,,,Self-supervised learning,Confident,"After months of efforts, we are pleased to announce the evolution from Qwen1.5 to Qwen2. This time, we bring to you:
- Pretrained and instruction-tuned models of 5 sizes, including Qwen2-0.5B, Qwen2-1.5B, Qwen2-7B, Qwen2-57B-A14B, and Qwen2-72B;
- Having been trained on data in 27 additional languages besides English and Chinese;
- State-of-the-art performance in a large number of benchmark evaluations;
- Significantly improved performance in coding and mathematics;
- Extended context length support up to 128K tokens with Qwen2-7B-Instruct and Qwen2-72B-Instruct.

(Technical report to follow)",,,Open weights (unrestricted),China,,,,,,2025-12-18 05:45:12+00:00,,"There is no paper to reference, no information about hardware used for training found in media.",,,not listed,Industry,,,5.000010000000001e+24,,Unreleased,Apache 2.0,True,,,BF16,,,Operation counting,Qwen,,,,Yes,qwen272b,0,other,1
Qwen1.5-110B,Language,"Chat,Language modeling/generation,Quantitative reasoning,Code generation,Translation",Alibaba,Qwen Team,2024-04-25,Qwen1.5-110B: The First 100B+ Model of the Qwen1.5 Series,https://qwenlm.github.io/blog/qwen1.5-110b/?ref=upstract.com,,,,110000000000.0,"110B
",,lower bound is taken from Qwen1.5 72B training compute estimation,,"A Qwen developer gave token counts for other models in the series at this github issue: https://github.com/QwenLM/Qwen2/issues/97
110B was asked but got no response.
7B, 14B, and 72B got 4T, 4T, and 3T tokens respectively.

In another issue from Qwen2: ""We are not authorized to share the details right now but the rough number is over 3T tokens for Qwen1.5 and over 7T tokens for Qwen2."" https://github.com/QwenLM/Qwen2/issues/562",,,,,Confident,"The Qwen1.5-110B is the largest model in the Qwen1.5 series, and it is also the first one with over 100 billion parameters in the series. It demonstrates competitive performance against the very recently released SOTA model Llama-3-70B and it is significantly better than the 72B model. This tells us that there is still a lot of room in model size scaling for better performance. While the releease of Llama-3 indicates the significance of data scaling to an extremely large scale, we believe we can get the best of both worlds by scaling both data and model size in our future release. Stay tuned for Qwen2!",,,Open weights (unrestricted),China,,,,,,2025-11-28 11:53:44+00:00,,,,,,Industry,,1.3e+24,,,Unreleased,https://huggingface.co/Qwen/Qwen1.5-110B,True,,,,,,,Qwen,,,,Yes,qwen15110b,0,other,1
Stable LM 2 12B,Language,"Language modeling/generation,Translation",Stability AI,,2024-04-08,Introducing Stable LM 2 12B,"https://stability.ai/news/introducing-stable-lm-2-12b
https://huggingface.co/stabilityai/stablelm-2-12b",,,,12143605760.0,Precise number given in HF model card,2.91e+23,"2* 12143605760 params * 3* 2T tokens * 2 epochs = 2.91e23. 
Trained on 384 H100s (AWS P5 instances).",2000000000000,2T tokens,,,NVIDIA H100 SXM5 80GB,Self-supervised learning,Confident,"Introducing the latest additions to our Stable LM 2 language model series: a 12 billion parameter base model and an instruction-tuned variant, trained on 2 trillion tokens in seven languages: English, Spanish, German, Italian, French, Portuguese, and Dutch. This medium-sized model balances strong performance, efficiency, memory requirements, and speed, following our established Stable LM 2 1.6B framework as detailed in our previously released technical report. With this release, we’re extending our model range, offering a transparent and powerful tool for developers to innovate in AI language technology. Soon, we plan to introduce a long-context variant of these models which will be available on Hugging Face upon release.

From Hugging Face:
Stable LM 2 12B is a 12.1 billion parameter decoder-only language model pre-trained on 2 trillion tokens of diverse multilingual and code datasets for two epochs.",2.0,,Open weights (restricted use),United Kingdom of Great Britain and Northern Ireland,,,,,,2025-11-28 11:53:44+00:00,,,,,,Industry,,,,,Open source,"Requires Stability AI Membership. Free for non-commercial use, $20/month for commercial use if less than $1M in annual revenue, $1M in institutional funding, and 1M monthly active users. 

Apache 2.0 license for repo, which includes detailed hyperparams and training details: https://github.com/Stability-AI/StableLM/blob/main/LICENSE  ",True,,,BF16,,,Operation counting,,,,,Yes,stablelm212b,0,other,1
MultiVerse 70B,Language,"Language modeling/generation,Question answering",MTS,,2024-03-25,MultiVerse 70B,https://huggingface.co/MTSAIR/MultiVerse_70B,,,,72000000000.0,,,,,,,,,,Confident,,,,Open weights (restricted use),Russia,Qwen-72B,,,,,2025-11-28 11:53:44+00:00,,,,,,Industry,,,,,Unreleased,"Qwen license (restriction on >100m monthly users)
https://huggingface.co/MTSAIR/MultiVerse_70B",,,,,,,,MTSAIR,,,,Yes,multiverse70b,0,other,1
