component,variant,metric,value,delta_vs_full,decision
六维指标,移除 IFEval,"Spearman(5维,6维)",0.9648775394199325,-0.035122460580067516,保留
六维指标,移除 BBH,"Spearman(5维,6维)",0.9939768791490762,-0.006023120850923824,保留
六维指标,移除 MATH Lvl 5,"Spearman(5维,6维)",0.9917582306512466,-0.008241769348753425,保留
六维指标,移除 GPQA,"Spearman(5维,6维)",0.9988210375891665,-0.001178962410833484,保留
六维指标,移除 MUSR,"Spearman(5维,6维)",0.9970491614038263,-0.0029508385961737327,保留
六维指标,移除 MMLU-PRO,"Spearman(5维,6维)",0.9960215765710092,-0.003978423428990796,保留
六维指标,全六维(主案),基准平台水平,46.66132247862437,0.0,"保留(全部维度贡献显著, 无冗余维)"
开源口径,白名单(主案),n_models,2328.0,0.0,主案
开源口径,白名单(主案),平台水平,46.66132247862437,0.0,-
开源口径,仅宽松许可,n_models,1763.0,-565.0,敏感性
开源口径,仅宽松许可,平台水平,46.66132247862437,0.0,-
开源口径,白名单+other,n_models,2624.0,296.0,敏感性
开源口径,白名单+other,平台水平,47.59869890166442,0.9373764230400496,-
类型分层(规模弹性),open_pretrained(主案),β_N (分/log10N),6.46260535135775,0.0,保留(剔除 RLHF 混杂)
类型分层(规模弹性),open 全体(移除分层),β_N (分/log10N),13.37867929922263,6.916073947864881,弃用(混杂 +107.0%)
类型分层(规模弹性),open_chat,β_N (分/log10N),14.518328865756494,8.055723514398744,弃用(混杂更重)
时间口径,月级前沿(主案),趋势 r²,0.3413443177375865,0.0,保留(月级聚合去噪)
时间口径,日级前沿(移除聚合),趋势 r²,0.30581653864695096,-0.035527779090635536,弃用(r² 降低)
时间口径,naive-continuous(混连历史段),年趋势斜率,5.6826235651976615,-4.828168432929753,弃用(口径断裂)
时间口径,口径断裂跳变占比(2019→2020),占全区间幅度,0.973366042888237,,分层必要性证据
预测方法,plateau_continue(12月),点预测,46.66132247862437,0.0,主案
预测方法,slowdown_scale(12月),点预测,47.60102196201067,0.939699483386299,敏感性情景
预测方法,plateau_continue(24月),点预测,46.66132247862437,0.0,主案
预测方法,slowdown_scale(24月),点预测,48.54072144539696,1.879398966772591,敏感性情景
CI 方法,块自助 vs 正态游走(12月),CI 宽度,38.755063160261535,-18.10552817432822,保留块自助(保留经验增量分布与跳变)
CI 方法,块自助 vs 正态游走(24月),CI 宽度,54.15366696152016,-24.81164645518436,保留块自助(保留经验增量分布与跳变)
C8 聚合口径,IFEval 归一化映射 vs 恒等,对 C1 的 MAE 降低,0.4845291881690842,0.5767982955994766,用恒等口径(消融证实映射更差 58%; 主链 IFEval/MATH 本即恒等/近似恒等)
C8 聚合口径,BBH 归一化映射 vs 恒等,对 C1 的 MAE 降低,0.6247182900707136,-0.970327134563186,保留归一化映射(MAE 降 97%)
C8 聚合口径,MATH Lvl 5 归一化映射 vs 恒等,对 C1 的 MAE 降低,4.480730015895215,0.2838033753661884,用恒等口径(消融证实映射更差 28%; 主链 IFEval/MATH 本即恒等/近似恒等)
C8 聚合口径,GPQA 归一化映射 vs 恒等,对 C1 的 MAE 降低,0.2568550733666672,-0.98901307611279,保留归一化映射(MAE 降 99%)
C8 聚合口径,MUSR 归一化映射 vs 恒等,对 C1 的 MAE 降低,0.9981479141803924,-0.9675152068075309,保留归一化映射(MAE 降 97%)
C8 聚合口径,MMLU-PRO 归一化映射 vs 恒等,对 C1 的 MAE 降低,0.1139687800148332,-0.9849293216335233,保留归一化映射(MAE 降 98%)
