domain,Q_star_v3,status,method
arxiv,0.7943358541010387,observed,v3_observed
freelaw,0.6171046585438109,type_inferred,book×0.4+arxiv×0.35+wikipedia×0.25
nih_exporter,0.4923345456663707,type_inferred,wikipedia×0.5+commoncrawl×0.3+stackexchange×0.2
pubmed_central,0.685889182635499,type_inferred,arxiv×0.6+book×0.25+wikipedia×0.15
wikipedia_en,0.42268373286460137,observed_near_direct,v3_observed
dm_mathematics,0.6046995046449674,type_inferred,github×0.35+arxiv×0.35+stackexchange×0.3
github,0.43359668934453993,observed,v3_observed
philpapers,0.6889381475408907,type_inferred,arxiv×0.5+book×0.5
stackexchange,0.5830770481300495,observed,v3_observed
enron_emails,0.5224141732479646,type_inferred,commoncrawl×0.45+github×0.3+stackexchange×0.25
gutenberg_pg_19,0.5835404409807426,observed_near_direct,v3_observed
pile_cc,0.547924232026867,observed_near_direct,v3_observed
ubuntu_irc,0.5083368687372947,type_inferred,github×0.5+stackexchange×0.5
europarl,0.5533140049525382,type_inferred,wikipedia×0.45+book×0.35+arxiv×0.2
hackernews,0.5637429992732992,type_inferred,commoncrawl×0.55+stackexchange×0.45
pubmed_abstracts,0.5928603041137164,type_inferred,wikipedia×0.4+arxiv×0.35+stackexchange×0.25
uspto_backgrounds,0.6553929330950046,type_inferred,arxiv×0.4+commoncrawl×0.35+book×0.25
