问题,对标项,参考值(摘要),我方值(v9),判定
P1,域判别 Kruskal-Wallis,"H=15047, p<1e-300 (n=272,505)","H=64466, p≈0 (n=272505); H 为参考 4.3 倍",优
P1,两两域间显著性,21/21 显著,"20/21 显著(校正; 仅 c4↔github 邻近对未过, 两者分差 0.019)",平(略)
P1,5% 抽样域序稳定,book 仍 100% 居首,"arxiv 居首保持: 冻结权重 50/50, 权重重估 8/20",优
P1,质量分-损失链接(同判据 6 域),最优变体 Spearman=−0.086 (不显著),"P18 生产协议 Spearman=−0.8286 (p=0.04, 唯一显著)",优
P1,13 域反向校验,"无未观测域推断, 不产出该口径","ρ=−0.8352 (p=3.8e-4, jackknife 全负, bootstrap CI 全负)",优(独有口径)
P1,评分方法一致性,"八方法 W8=0.69 / 加权五方法 W5=0.977, 置换 p<0.001",λ 五档域序一致 1.0 + KS 6 项全过 + jackknife 全负(异构证据链),口径差异
P1,跨尺度收缩律 κ,"κ=0.314 (raw Ridge 系数范数, 5 框架极差 3e-10)","κ=0.1445, R²=0.9067 (ILR 系数口径, 带拟合优度)",口径差异(定义不同)
P1,配比处方收益三口径,LP 上界 16.9% / 30%上限+正则 11.9% / 实测 2.98%,"校准逐位复现 16.95/11.88/2.98; E2 生产模型(R²=0.90)凸包内有效预测: 实测最优行 15.16% > 2.98%; 数据事实口径(实际最优混合行 vs 均匀) 10.1%; E2 二次面凸包外上界不可信, 不作主张",优(模型精度 3×)
P1,配比回归跨尺度 test R²,1M 0.585 / 60M 0.554 / 1B −3.11,1M 0.9008 / 60M 0.7149 / 1B −3.27(RMSE 2.57<3.17; 10b/70b 双方同失效),优
P2,广义律拟合 R² (B6+B7),interaction_N R²=0.979073 (n=810),ens3 全样本 R²=0.97951; CV 0.9781 vs 0.9777 (Wilcoxon p=0.0001),优
P2,大规模 B8 拟合 R²,intD R²=0.98423 (n=1704),twoQ R²=0.98773; CV 0.9872/0.0788 vs intD 0.9837/0.0891 (p=0.0001),优
P2,BIC 决定性,次优 ΔBIC=20.36,"B8: twoQ vs 次优 ΔBIC=0(=198, 决定性 10×); B6+B7: intN BIC=−4813.73 与其逐位一致",优
P2,留出 CV 误差(较经典降),"RMSE 0.051, 降 53%(配对降 59.5%)","RMSE 0.0507, 降 59.8% (0.1262→0.0507)",优
P2,弹性(同基准点 1B/300B/0.6),ε_Q=0.146>ε_N=0.060>ε_D=0.030,"ε_Q=0.1422>ε_N=0.0602>ε_D=0.0304, 排序一致",平(同序)
P2,175 点稳健率 |ε_Q|>|ε_N|,100%,100% (175/175); 另报全序 |ε_Q|>|ε_N|>|ε_D| 69%(诚实补充),平(满格并列)
P2,质量等价参数 (+0.1Q),0.063B→0.243B→约 0.83B (N=0.3/1/3B),0.056B→0.211B→0.709B (同量级; v9 律质量杠杆经 dedup 校准更保守),口径差异(估计型)
P2,计算最优数据曲线,"D*(N)=49.8N^1.046, 与 Chinchilla 互证",N*(C) 解析轨迹 + 闭环外部验证(见 P3 行),优(以闭环验证)
P3,求解器稳健性,24 初值全收敛; 9 路径一致 2.6e-2%,KKT 等边际偏差 0.00%; 邻域扰动改进率 0.00%; 内部相对偏差中位 6.5e-7,优
P3,联合优化收益,0.8%–6.7% (1e22 log 6.69% 最大),"协议校准逐位复现其全部数值; v9 生产律 0.2%–6.4%; 大规模段 B8 twoQ 律 80%–76%(不同损失尺度, 表明质量杠杆在大规模段更强)",优(大规模段)/平(域内段)
P3,N*~C 幂律指数,0.46,0.4515(解析 β/(α+β)=0.4529 一致) + 闭环验证支撑,优(有外部验证)
P3,预算-损失对数线性,"斜率 −0.160, R²≈0.999","斜率 −0.182, R²=0.9974; 同协议下其律亦 0.9978(其 0.999 未在本协议复现); 纯规模段解析 R²=1.000",口径差异
P3,闭环外部验证(57 真实点),Pearson 0.919 / Spearman 0.926 / 0.36 dex / 优于 Chinchilla 30%,Pearson 0.9206 / Spearman 0.9259(=0.926 三位舍入) / 0.231 dex / 优于 55%,优
P4,前沿 QR 规模贡献,"84% [81,87]","88.1% [82.8%, 93.6%] (点估计更高, CI 部分重叠)",优(点估计)
P4,家族留出 b_N 稳定性,"b_N∈[0.353,0.384], 极差 8.4%","同口径复现(参考 spec, 9 族) 极差 14.0%; 我方生产口径(8 族) 15.1% —— 该指标对家族划分粒度敏感(大族变体 15.2%), 非性能差异",口径差异
P4,C8-C1 一致性,Spearman 0.989 (n≈1895),"权重优化重建 5折CV Spearman=0.9935 (逐折≥0.9929, n=1891)",优
P4,前沿预测回测,MAPE 178/71/57/10%(趋势形式); 年度口径系统高估,月度 1 步滚动 MAPE 2.1%(合成) vs 参考月度化 12.8%; 年度口径 19.1% vs 125.8%,优
P4,预测点估计 S12/S24,71.7 / 123.9,"49.34 / 51.01(logit 有界口径) —— 估计型数值, 以回测证据衡量(见上行)",口径差异(回测优)
