domain,Q_star,status,method
arxiv,0.732339777758272,observed,direct
freelaw,0.5984705120040386,type_inferred,book×0.4+arxiv×0.35+wikipedia×0.25
nih_exporter,0.4977915942844026,type_inferred,wikipedia×0.5+commoncrawl×0.3+stackexchange×0.2
pubmed_central,0.650505597817028,type_inferred,arxiv×0.6+book×0.25+wikipedia×0.15
wikipedia_en,0.4388819929339657,observed_near_direct,wikipedia_en->wikipedia
dm_mathematics,0.5610942118764402,type_inferred,github×0.35+arxiv×0.35+stackexchange×0.3
github,0.4057542235658097,observed,direct
philpapers,0.656708753323076,type_inferred,arxiv×0.5+book×0.5
stackexchange,0.5425377047100388,observed,direct
enron_emails,0.5121252785603706,type_inferred,commoncrawl×0.45+github×0.3+stackexchange×0.25
gutenberg_pg_19,0.5810777288878799,observed_near_direct,gutenberg_pg_19->book
pile_cc,0.56614352291804,observed_near_direct,pile_cc->commoncrawl
ubuntu_irc,0.47414596413792426,type_inferred,github×0.5+stackexchange×0.5
europarl,0.5473420574826969,type_inferred,wikipedia×0.45+book×0.35+arxiv×0.2
hackernews,0.5555209047244395,type_inferred,commoncrawl×0.55+stackexchange×0.45
pubmed_abstracts,0.5675061455664911,type_inferred,wikipedia×0.4+arxiv×0.35+stackexchange×0.25
uspto_backgrounds,0.6363555763465928,type_inferred,arxiv×0.4+commoncrawl×0.35+book×0.25
