id,problem,claim,value,expect,verdict
A1,Q1,主判据 13 域反向 ρ ≤ −0.78,-0.8352,≤ −0.78,PASS
A2,Q1,ILR 二次 test_1m 宏平均 ≥ 0.88,+0.8962,≥ 0.88,PASS
A3,Q1,逐域选型 13/13 为正,13/13,=13,PASS
B1,Q2,经典律 E≈1.69/α≈0.34/β≈0.28,E=1.6898 α=0.3400 β=0.2799,"E∈[1.6,1.8] α∈[0.30,0.38] β∈[0.24,0.32]",PASS
B2,Q2,"质量项 θ_Q∈[0.2,0.6]",0.3627,"∈[0.2,0.6]",PASS
B3,Q2,B6/B7/B8 R² ≥ 0.95/0.95/0.90,0.9526/0.9551/0.9470,≥0.95/0.95/0.90,PASS
C1,Q3,KKT 等边际偏差 ≤ 5%,0.00%,≤ 5%,PASS
D1,Q4,12mo 前沿预测残差 ≤ 1.0,0.24,≤1.0,PASS
D2,Q4,C8 重建 Pearson ≥ 0.90,0.9677,≥0.90,PASS
V1,验证,基准套件 17/17 PASS,17/17,=17/17,PASS
