Model,Average ⬆️,Submission Date,Hub License,Type,#Params (B),rebuilt
0-hero/Matter-0.2-7B-DPO,8.90636130175029,2024-08-05,apache-2.0,"💬 chat models (RLHF, DPO, IFT, ...)",7.242,22.219227313566936
01-ai/Yi-1.5-34B,25.64649419429311,2024-06-12,apache-2.0,🟢 pretrained,34.389,71.46451033243486
01-ai/Yi-1.5-34B-32K,26.72791290850813,2024-06-12,apache-2.0,🟢 pretrained,34.389,73.58490566037736
01-ai/Yi-1.5-34B-Chat,33.35799367075618,2024-06-12,apache-2.0,"💬 chat models (RLHF, DPO, IFT, ...)",34.389,81.95867026055707
01-ai/Yi-1.5-34B-Chat-16K,29.403554842710225,2024-07-15,apache-2.0,"💬 chat models (RLHF, DPO, IFT, ...)",34.389,77.67295597484276
01-ai/Yi-1.5-6B,16.745698054972127,2024-08-10,apache-2.0,🟢 pretrained,6.061,50.314465408805034
01-ai/Yi-1.5-6B-Chat,22.784006289829847,2024-10-22,apache-2.0,"💬 chat models (RLHF, DPO, IFT, ...)",6.061,60.1078167115903
01-ai/Yi-1.5-9B,22.153901514184795,2024-06-12,apache-2.0,🟢 pretrained,8.829,65.9119496855346
01-ai/Yi-1.5-9B-32K,19.809786285875365,2024-06-12,apache-2.0,🟢 pretrained,8.829,58.04132973944295
01-ai/Yi-1.5-9B-Chat,29.530872220260974,2024-06-12,apache-2.0,"💬 chat models (RLHF, DPO, IFT, ...)",8.829,73.45911949685532
01-ai/Yi-1.5-9B-Chat-16K,23.76539234993476,2024-06-12,apache-2.0,"💬 chat models (RLHF, DPO, IFT, ...)",8.829,62.36298292902066
01-ai/Yi-34B,22.373127018936653,2024-06-12,apache-2.0,🟢 pretrained,34.389,63.225516621743026
01-ai/Yi-34B-200K,20.01347533597433,2024-06-12,apache-2.0,🟢 pretrained,34.389,54.44743935309974
01-ai/Yi-34B-Chat,24.226662652803373,2024-06-12,apache-2.0,"💬 chat models (RLHF, DPO, IFT, ...)",34.389,64.16891284815812
01-ai/Yi-6B,13.611617485376058,2024-06-12,apache-2.0,🟢 pretrained,6.061,32.273135669362084
01-ai/Yi-6B-200K,11.99609829883284,2024-06-12,apache-2.0,🟢 pretrained,6.061,36.80143755615454
01-ai/Yi-6B-Chat,14.11765000523676,2024-06-12,apache-2.0,"💬 chat models (RLHF, DPO, IFT, ...)",6.061,34.20485175202156
01-ai/Yi-9B,17.811867367746064,2024-06-12,apache-2.0,🟢 pretrained,8.829,49.883198562443845
01-ai/Yi-9B-200K,17.72955178611439,2024-06-12,apache-2.0,🟢 pretrained,8.829,52.14734950584007
01-ai/Yi-Coder-9B-Chat,16.985989314863886,2024-09-12,apache-2.0,🔶 fine-tuned on domain-specific datasets,8.829,35.265049415992806
1-800-LLMs/Qwen-2.5-14B-Hindi,36.2661770066689,2025-02-06,mit,🔶 fine-tuned on domain-specific datasets,14.77,86.02875112309074
1-800-LLMs/Qwen-2.5-14B-Hindi-Custom-Instruct,31.020777275634742,2025-02-06,apache-2.0,🔶 fine-tuned on domain-specific datasets,14.77,79.74842767295597
1024m/PHI-4-Hindi,27.48785095027712,2025-02-06,mit,🔶 fine-tuned on domain-specific datasets,14.66,78.44564240790658
1024m/QWEN-14B-B100,41.91906679224076,2025-02-06,apache-2.0,🔶 fine-tuned on domain-specific datasets,14.77,71.89577717879604
152334H/miqu-1-70b-sf,29.097407726236643,2024-06-26,,🔶 fine-tuned on domain-specific datasets,68.977,77.1069182389937
1TuanPham/T-VisStar-7B-v0.1,19.14480861089536,2024-09-22,apache-2.0,"💬 chat models (RLHF, DPO, IFT, ...)",7.294,50.41329739442948
1TuanPham/T-VisStar-v0.1,19.14480861089536,2024-09-20,apache-2.0,🔶 fine-tuned on domain-specific datasets,7.294,50.41329739442948
3rd-Degree-Burn/L-3.1-Science-Writer-8B,21.09120798437004,2024-11-19,,🔶 fine-tuned on domain-specific datasets,8.03,50.05390835579515
3rd-Degree-Burn/Llama-3.1-8B-Squareroot,11.223740793316349,2024-10-10,apache-2.0,🤝 base merges and moerges,8.03,25.705300988319856
3rd-Degree-Burn/Llama-3.1-8B-Squareroot-v1,8.037946007988568,2024-11-10,,🤝 base merges and moerges,8.03,20.000000000000004
3rd-Degree-Burn/Llama-Squared-8B,12.434954194134717,2024-10-08,,🔶 fine-tuned on domain-specific datasets,8.03,26.54986522911051
4season/final_model_test_v2,23.086235043644056,2024-06-27,apache-2.0,🔶 fine-tuned on domain-specific datasets,21.421,58.90386343216532
AALF/FuseChat-Llama-3.1-8B-Instruct-preview,28.56857495894073,2024-11-20,apache-2.0,"💬 chat models (RLHF, DPO, IFT, ...)",8.03,59.910152740341424
AALF/FuseChat-Llama-3.1-8B-SFT-preview,29.225292099823264,2024-11-21,,🔶 fine-tuned on domain-specific datasets,8.03,65.33692722371967
AALF/gemma-2-27b-it-SimPO-37K,9.512077380763676,2024-09-05,gemma,"💬 chat models (RLHF, DPO, IFT, ...)",27.227,22.542677448337827
AALF/gemma-2-27b-it-SimPO-37K-100steps,10.246803363324457,2024-09-21,gemma,"💬 chat models (RLHF, DPO, IFT, ...)",27.227,23.80952380952381
AELLM/gemma-2-aeria-infinity-9b,31.919053815912523,2024-10-09,,🤝 base merges and moerges,9.242,64.28571428571429
AELLM/gemma-2-lyco-infinity-9b,30.04985134020671,2024-10-09,,"💬 chat models (RLHF, DPO, IFT, ...)",10.159,61.84186882300089
AGI-0/Art-v0-3B,12.132145545921874,2025-01-19,other,🔶 fine-tuned on domain-specific datasets,3.086,36.18149146451034
AGI-0/Artificium-llama3.1-8B-001,19.491817924739056,2024-09-08,unknown,🔶 fine-tuned on domain-specific datasets,8.03,42.46181491464511
AGI-0/smartllama3.1-8B-001,20.42455207766212,2024-11-25,unknown,🔶 fine-tuned on domain-specific datasets,8.03,56.95417789757412
