domain,n_a18,rows_a17,avg_chars_a17,avg_chars_a18,Q_star_v5,text_snapshot
arxiv,1719,1719,47031.44,47031.444444444445,0.7968159862982731,--- abstract: 'The role of the spatial structure of a turbulent flow in enhancing particle collision rates in 
dm_mathematics,1922,1922,8194.0,8194.0,0.6354821046814269,"b be o(-2). Suppose -1 = -2*i + 2*z - 23, -3*i - 5*z = b. What is the remainder when 8/6*(-306)/i is divided b"
enron_emails,1010,1010,1618.63,1618.6326732673267,0.5576461140595282,pls print this email also. thanks df ---------------------- Forwarded by Drew Fossum/ET&S/Enron on 03/20/2001 
europarl,157,157,51662.87,51662.86624203822,0.5698813053389903,Ramy kwalifikacji dla uczenia się przez całe życie (debata) Przewodniczący Następnym punktem porządku obrad je
freelaw,5100,5100,15762.0,15762.001960784313,0.6262824338572681,"720 N.W.2d 716 (2006) 2006 WI App 132 Linda T. PETERSON, Plaintiff-Appellant, v. CORNERSTONE PROPERTY DEVELOPM"
github,15117,15117,5178.68,5178.677647681418,0.4815012575355276,grammar Poly; options { output=AST; language=ObjC; } tokens { MULT; } // imaginary token poly: term ('+'^ t
gutenberg_pg_19,79,79,381179.59,381179.59493670886,0.5805302743130676,"Produced by Jason Isbell, Stacy Brown Thellend and the Online Distributed Proofreading Team at http://www.pgdp"
hackernews,944,944,5180.6,5180.604872881356,0.5955697487324987,How Freud’s Only Visit to America Made Him Hate the US for the Rest of His Life - protomyth http://mentalfloss
nih_exporter,1884,1884,2081.35,2081.3524416135883,0.5267300678700484,Potassium channels in the renal cortical collecting tubule (CCT) play an important role in potassium (K) secre
philpapers,67,67,73524.07,73524.07462686567,0.6886731303056703,"S.Ph. Essays and Explorations 1.2 25 ""Part of that force that always wills the evil and always produces the go"
pile_cc,18191,18191,4523.03,4523.030344675939,0.569932990405643,Mud Hens pitcher Evan Reed charged with sexual assault Mud Hens pitcher Evan Reed was charged July 30 with sex
pubmed_abstracts,29895,29895,1330.45,1330.4512460277638,0.6199070526049589,"One-year follow-up of patients treated for dental fear: effects of cognitive therapy, applied relaxation, and "
pubmed_central,2629,2629,31267.95,31267.949030049447,0.6923329977138181,Background {#Sec1} ========== The clinical importance of lumbar disc degeneration as measured on MRI remains c
stackexchange,30378,30378,2171.4,2171.39604318915,0.6269035644653221,Q: Show message dialog Is it possible to display a QML dialog when the user hits a button in a QML window? Exa
ubuntu_irc,16,16,225242.75,225242.75,0.5542024110004249,#ubuntu-design 2012-06-19 <warp10> Hi all guys! <warp10> Is this picture available in higher resolution somehw
uspto_backgrounds,11415,11415,4139.52,4139.515549715287,0.6633355097395512,The invention relates to an expansion joint for part of a railway track disposed on a foundation which has a s
wikipedia_en,17511,17511,2964.62,2964.616298326766,0.4607389157105822,Roman Catholic Diocese of Tambacounda The Roman Catholic Diocese of Tambacounda () is a diocese located in the
